epoch,accuracy,loss,val_accuracy,val_loss
0,0.36396345496177673,1.3238030672073364,0.4927953779697418,1.264862298965454
1,0.6581788063049316,0.9745065569877625,0.6772334575653076,0.9071198105812073
2,0.792969822883606,0.5739503502845764,0.6945244669914246,0.7522408962249756
3,0.8488790392875671,0.416164755821228,0.7031700015068054,0.7778525948524475
4,0.8762801289558411,0.33392930030822754,0.6945244669914246,0.7919738292694092
5,0.9028508067131042,0.2783260643482208,0.6887608170509338,0.8235867619514465
6,0.920011043548584,0.22982142865657806,0.7060518860816956,0.8806808590888977
7,0.9377248883247375,0.19022764265537262,0.6945244669914246,0.9311110973358154
8,0.949903130531311,0.16249293088912964,0.7175792455673218,0.9632072448730469
9,0.9535012245178223,0.14127734303474426,0.6858789920806885,1.0149747133255005
10,0.9612510204315186,0.12587207555770874,0.6887608170509338,1.0561152696609497
11,0.9667866230010986,0.11529479175806046,0.680115282535553,1.1097705364227295
12,0.9723221659660339,0.10229702293872833,0.6887608170509338,1.1490930318832397
13,0.9709382653236389,0.09508024156093597,0.6714697480201721,1.2700620889663696
14,0.9703847169876099,0.09721723198890686,0.7031700015068054,1.2279844284057617
15,0.9725989699363708,0.08969417959451675,0.6858789920806885,1.2463949918746948
16,0.973429262638092,0.08698655664920807,0.6887608170509338,1.2936099767684937
17,0.975643515586853,0.07613582164049149,0.6974063515663147,1.2890803813934326
18,0.975089967250824,0.07692907005548477,0.6829971075057983,1.3498088121414185
19,0.975643515586853,0.0735723078250885,0.6858789920806885,1.3413020372390747
20,0.9781345129013062,0.07138907164335251,0.680115282535553,1.3684152364730835
21,0.9778577089309692,0.06764470785856247,0.6829971075057983,1.4671765565872192
22,0.975643515586853,0.0705774798989296,0.6887608170509338,1.4703353643417358
23,0.9792416095733643,0.06668755412101746,0.6916426420211792,1.468458652496338
24,0.9773041605949402,0.06503599137067795,0.7031700015068054,1.4946922063827515
