epoch,accuracy,loss,val_accuracy,val_loss
0,0.386382520198822,1.3170415163040161,0.47262248396873474,1.255563735961914
1,0.6559645533561707,0.9709404110908508,0.6426513195037842,0.9144966006278992
2,0.8048713207244873,0.5657621622085571,0.6945244669914246,0.7764143347740173
3,0.8527539372444153,0.4013475477695465,0.6974063515663147,0.8107202053070068
4,0.8812621235847473,0.32111722230911255,0.6974063515663147,0.8198705911636353
5,0.9133684039115906,0.2578584551811218,0.6974063515663147,0.877808690071106
6,0.9327428936958313,0.21180982887744904,0.7002881765365601,0.9325537085533142
7,0.9451978802680969,0.1778128296136856,0.6829971075057983,1.0446950197219849
8,0.9518405795097351,0.1526150405406952,0.680115282535553,1.0862656831741333
9,0.9595903754234314,0.13498903810977936,0.6887608170509338,1.1323823928833008
10,0.9609742760658264,0.12133270502090454,0.6974063515663147,1.1777050495147705
11,0.9678937196731567,0.10436225682497025,0.6657060384750366,1.2712255716323853
12,0.9687240719795227,0.0968889370560646,0.6628242135047913,1.3696402311325073
13,0.972045361995697,0.09221301972866058,0.6714697480201721,1.2952752113342285
14,0.9681705236434937,0.09111633896827698,0.6657060384750366,1.3209619522094727
15,0.9717686176300049,0.08097444474697113,0.6743515729904175,1.3804024457931519
16,0.9725989699363708,0.07836653292179108,0.6714697480201721,1.438158392906189
17,0.975089967250824,0.07349058240652084,0.680115282535553,1.449592113494873
18,0.975089967250824,0.07475688308477402,0.6599423885345459,1.544745683670044
19,0.9786880612373352,0.068686842918396,0.6685879230499268,1.5253207683563232
20,0.9773041605949402,0.06564345955848694,0.6743515729904175,1.5262610912322998
21,0.9761970639228821,0.06662851572036743,0.6829971075057983,1.5454638004302979
22,0.9778577089309692,0.06443590670824051,0.6657060384750366,1.6112226247787476
23,0.9775809645652771,0.06011470407247543,0.6657060384750366,1.6224250793457031
24,0.9778577089309692,0.05843367055058479,0.6685879230499268,1.6254042387008667
